r,g,b,image_id,subject_name,hex,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,NoCompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfFace.scalar,RightwardCropOfFace.scalar,MarginAboveTheFace.scalar,MarginBelowTheFace.scalar,HeadPoseYawFrontal.scalar,HeadPosePitchFrontal.scalar,HeadPoseRollFrontal.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,magface,lum,hue,lum_std,hue_std,red,green,blue,red_std,green_std,blue_std,age,gender,race,emotion,skintone
15.768.802.323,12.424.806.404,10.152.506.279,094_02.jpg,94,#9e7c66,51,85,55,62,92,100,100,82,98,100,100,100,100,96,95,100,97,66,4,100,100,98,96,63,99,100,93,100,28.405.891.958.331.800,58.055.238.081.713.500,55.959.744.987.213.300,3.299.141.802.787.120,6.747.613.598.342.970,0.6736982941637232,0.534867071193075,0.4398852423445202,0.0365714350463751,0.0431147559130151,0.0440075280921613,32.0,f,latino hispanic,fear,5
15.737.561.138,12.173.345.113,9.746.413.664,094_07.jpg,94,#9d7a61,62,86,83,63,93,100,100,82,99,100,100,100,100,85,95,100,97,66,5,100,100,100,47,55,98,99,15,100,2.904.292.405.569.580,5.835.716.137.306.850,5.840.651.836.347.820,18.698.041.702.639.100,11.612.355.853.246.400,0.6647362928735681,0.5308205784083233,0.4042302130124355,0.027328103436638,0.0333120559161675,0.0517207122986884,30.0,f,latino hispanic,happy,5
15.846.366.108,12.217.446.532,10.011.995.092,094_08.jpg,94,#9e7a64,91,83,87,54,84,100,100,81,99,100,100,100,100,79,100,100,100,67,6,100,100,99,42,100,98,100,11,100,3.047.222.549.631.310,55.910.216.833.408,5.489.203.707.400.400,3.846.472.472.663.080,1.724.354.476.007.160,0.6683980851414915,0.4894992451189535,0.4024253328873097,0.0331153189855031,0.0494875195336667,0.0394178352290983,32.0,f,white,happy,5
18.270.281.848,15.650.118.175,14.424.084.141,113_08.jpg,113,#b79d90,90,69,85,92,99,100,100,89,99,100,100,100,100,84,100,100,99,48,4,100,100,99,93,100,100,100,11,100,3.226.902.286.342.440,688.262.379.486.212,527.005.808.613.508,4.490.413.529.296.420,33.121.224.836.347.400,0.7513192770879714,0.6320906897525906,0.5917812030688978,0.0552225878175302,0.0505016443306138,0.051009327333838,30.0,f,white,happy,2
18.409.030.703,15.587.877.825,14.329.823.307,113_09.jpg,113,#b89c8f,50,83,85,93,99,100,100,88,99,100,100,100,100,84,100,100,98,52,3,100,100,100,98,59,100,100,20,100,2.986.152.835.595.980,6.701.126.200.986.350,512.276.128.453.813,698.961.529.430.943,2.077.321.517.241.160,0.7213056754851705,0.6112710157487803,0.5538499042411086,0.0839375439773253,0.0712706025744095,0.0715628300897952,35.0,f,white,happy,2
19.528.395.146,17.078.258.038,15.840.210.461,113_02.jpg,113,#c3ab9e,28,86,51,98,91,100,100,90,99,100,100,100,100,95,98,100,95,51,4,100,100,93,99,56,99,100,95,100,28.184.756.130.342.600,7.011.672.845.418.650,5.399.971.645.529.040,7.809.348.937.974.810,3.738.900.565.302.780,0.7562374941564178,0.6639769813496783,0.6125394906876566,0.0586755635952257,0.0808134544970747,0.0859544309548027,33.0,f,white,sad,2
19.160.496.989,16.496.776.554,15.167.968.464,113_07.jpg,113,#c0a598,35,86,76,97,95,100,100,89,99,100,100,100,100,86,97,100,95,51,3,100,100,100,98,54,100,100,17,100,3.036.337.703.606.720,7.213.913.226.095.550,49.853.772.355.959.900,25.028.786.416.148.300,11.418.276.038.847.500,0.7832547044444736,0.6813935853913542,0.6339278173485315,0.0332934874239222,0.0480869095713891,0.0183224122232698,31.0,f,white,happy,2
1.916.752.508,16.497.404.075,15.280.804.633,113_04.jpg,113,#c0a599,37,84,53,96,95,100,100,89,97,100,100,100,100,96,100,100,98,53,3,100,100,97,100,62,100,100,93,100,290.859.303.793.588,6.922.726.120.578.950,5.064.413.194.565.210,8.161.005.914.853.460,21.826.098.258.794.800,0.737627457845294,0.6436072084282691,0.593031133739491,0.0840977414254015,0.0856683132316378,0.0930792275387932,36.0,f,white,fear,2
18.363.183.903,15.780.351.098,14.585.317.244,113_03.jpg,113,#b89e92,79,73,82,94,98,100,100,89,99,100,100,100,100,94,100,100,100,51,4,100,100,95,99,100,100,100,98,100,31.463.454.619.187.300,6.834.434.002.645.520,5.243.640.926.402.520,7.697.401.870.605.190,30.114.221.551.013.000,0.7461962604229752,0.6350169434498325,0.5884428747226849,0.0603954033192099,0.0945522768949098,0.0852812682892297,31.0,f,white,neutral,2
18.522.096.963,14.393.489.611,13.190.913.159,030_09.jpg,30,#b99084,48,87,88,89,100,100,100,87,100,100,100,100,96,72,100,100,99,55,5,100,100,99,80,61,100,100,18,100,2.852.007.431.937.800,6.575.435.577.782.530,4.167.550.235.336.340,5.299.071.163.192.570,5.675.043.592.990.330,0.7587549074778884,0.5860889807771386,0.5369292761236879,0.0475537093886215,0.0551719270702792,0.0598953447334679,28.0,m,asian,happy,2
